Austria, Conditional fertility rates by calendar year, age and birth order
Last modified: 05/08/2021
Year  Age       m1x       m2x       m3x       m4x      m5px
1991   12-  0.00000         .         .         .         .
1991   13   0.00005         .         .         .         .
1991   14   0.00047   0.03844         .         .         .
1991   15   0.00211   0.01050         .         .         .
1991   16   0.00647   0.04576   0.04572         .         .
1991   17   0.01745   0.06266   0.02407         .         .
1991   18   0.03046   0.06288   0.05119   0.45800         .
1991   19   0.04586   0.08829   0.08329   0.02507         .
1991   20   0.05962   0.11286   0.06139   0.03295         .
1991   21   0.06825   0.12213   0.06270   0.07391   0.24854
1991   22   0.07661   0.13628   0.07220   0.08726   0.02731
1991   23   0.08670   0.14791   0.06545   0.07066   0.07103
1991   24   0.10178   0.15975   0.06991   0.08289   0.07698
1991   25   0.10953   0.16310   0.06505   0.06921   0.06065
1991   26   0.11113   0.15965   0.06673   0.07672   0.08675
1991   27   0.11180   0.15403   0.06243   0.06096   0.09290
1991   28   0.10399   0.14414   0.06027   0.06211   0.08669
1991   29   0.09335   0.13023   0.05261   0.05813   0.07703
1991   30   0.08907   0.11509   0.04912   0.04989   0.06398
1991   31   0.07428   0.10142   0.04640   0.05171   0.06683
1991   32   0.06415   0.08085   0.04284   0.04793   0.05836
1991   33   0.05632   0.07137   0.03639   0.04438   0.04961
1991   34   0.04481   0.05644   0.03281   0.03311   0.04081
1991   35   0.03718   0.04268   0.02444   0.02747   0.04379
1991   36   0.03041   0.03677   0.01935   0.02422   0.03019
1991   37   0.02286   0.02631   0.01488   0.01859   0.03091
1991   38   0.01735   0.01706   0.01115   0.01758   0.02890
1991   39   0.01067   0.01066   0.00885   0.01327   0.02218
1991   40   0.00745   0.00651   0.00511   0.00843   0.01574
1991   41   0.00538   0.00478   0.00346   0.00650   0.01116
1991   42   0.00222   0.00137   0.00196   0.00348   0.00780
1991   43   0.00073   0.00126   0.00083   0.00107   0.00598
1991   44   0.00076   0.00049   0.00048   0.00174   0.00368
1991   45   0.00000   0.00055   0.00022   0.00074   0.00108
1991   46   0.00000   0.00028   0.00019   0.00026   0.00073
1991   47   0.00015   0.00009   0.00006   0.00000   0.00016
1991   48   0.00000   0.00000   0.00000   0.00000   0.00015
1991   49   0.00000   0.00000   0.00000   0.00000   0.00013
1991   50   0.00000   0.00000   0.00000   0.00000   0.00000
1991   51   0.00000   0.00000   0.00000   0.00000   0.00000
1991   52   0.00000   0.00000   0.00000   0.00000   0.00000
1991   53   0.00000   0.00000   0.00000   0.00000   0.00000
1991   54   0.00000   0.00000   0.00000   0.00000   0.00000
1991   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1992   12-  0.00000         .         .         .         .
1992   13   0.00005         .         .         .         .
1992   14   0.00040   0.07249         .         .         .
1992   15   0.00196   0.03813         .         .         .
1992   16   0.00666   0.07679   0.14584         .         .
1992   17   0.01707   0.07626   0.08001         .         .
1992   18   0.02899   0.08287   0.06983   0.00000         .
1992   19   0.04733   0.10108   0.04816   0.08686         .
1992   20   0.05727   0.11635   0.07730   0.04792         .
1992   21   0.06948   0.12652   0.07657   0.05126   0.00000
1992   22   0.07584   0.14294   0.07238   0.08384   0.13364
1992   23   0.08477   0.15214   0.06699   0.07406   0.16168
1992   24   0.09314   0.15416   0.07252   0.07738   0.09683
1992   25   0.10589   0.15970   0.06780   0.07375   0.12258
1992   26   0.10532   0.15994   0.06786   0.06963   0.08947
1992   27   0.10529   0.15480   0.06555   0.06379   0.06132
1992   28   0.10627   0.14466   0.06043   0.06058   0.07886
1992   29   0.09732   0.12902   0.05632   0.05126   0.07578
1992   30   0.08855   0.11847   0.04955   0.05192   0.05897
1992   31   0.07700   0.10045   0.04615   0.04890   0.05868
1992   32   0.06291   0.08630   0.04393   0.04377   0.05087
1992   33   0.05554   0.07322   0.03537   0.04314   0.05015
1992   34   0.04624   0.05991   0.03179   0.02770   0.04783
1992   35   0.04066   0.04461   0.02525   0.02897   0.04191
1992   36   0.03341   0.03384   0.01819   0.02679   0.03368
1992   37   0.02154   0.02570   0.01737   0.02136   0.02783
1992   38   0.01615   0.01718   0.01205   0.01728   0.03099
1992   39   0.00987   0.01168   0.00893   0.01242   0.02174
1992   40   0.00669   0.00806   0.00536   0.00889   0.01569
1992   41   0.00463   0.00547   0.00298   0.00649   0.01009
1992   42   0.00353   0.00212   0.00204   0.00322   0.00779
1992   43   0.00147   0.00152   0.00123   0.00205   0.00717
1992   44   0.00117   0.00071   0.00062   0.00107   0.00245
1992   45   0.00046   0.00041   0.00042   0.00033   0.00050
1992   46   0.00020   0.00000   0.00015   0.00000   0.00043
1992   47   0.00000   0.00000   0.00006   0.00013   0.00000
1992   48   0.00015   0.00000   0.00006   0.00000   0.00000
1992   49   0.00000   0.00000   0.00006   0.00000   0.00015
1992   50   0.00000   0.00000   0.00000   0.00010   0.00000
1992   51   0.00000   0.00000   0.00000   0.00000   0.00000
1992   52   0.00000   0.00000   0.00000   0.00000   0.00000
1992   53   0.00000   0.00000   0.00000   0.00000   0.00000
1992   54   0.00000   0.00000   0.00000   0.00000   0.00000
1992   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1993   12-  0.00000         .         .         .         .
1993   13   0.00009         .         .         .         .
1993   14   0.00030   0.00000         .         .         .
1993   15   0.00147   0.01757         .         .         .
1993   16   0.00667   0.06910   0.00000         .         .
1993   17   0.01535   0.08907   0.07519         .         .
1993   18   0.02852   0.07967   0.08761   0.06990         .
1993   19   0.04632   0.10962   0.07610   0.09460         .
1993   20   0.05809   0.11386   0.06528   0.05355   0.38367
1993   21   0.06560   0.13501   0.07432   0.07800   0.08259
1993   22   0.07482   0.15128   0.06888   0.06698   0.07351
1993   23   0.08260   0.15573   0.06304   0.08417   0.07095
1993   24   0.08847   0.16626   0.06825   0.07890   0.07559
1993   25   0.09818   0.16775   0.07084   0.08319   0.06719
1993   26   0.10105   0.16578   0.06241   0.06852   0.09179
1993   27   0.10668   0.16031   0.06418   0.06256   0.09606
1993   28   0.10216   0.15001   0.05966   0.06128   0.06026
1993   29   0.09572   0.13761   0.05702   0.05542   0.08667
1993   30   0.08645   0.12230   0.05087   0.04862   0.05799
1993   31   0.07640   0.10421   0.04603   0.04226   0.06379
1993   32   0.06368   0.08940   0.04149   0.04184   0.06205
1993   33   0.05295   0.07118   0.03669   0.03790   0.05961
1993   34   0.04644   0.05740   0.02926   0.03238   0.05088
1993   35   0.03936   0.04821   0.02667   0.02828   0.04104
1993   36   0.02894   0.03701   0.02020   0.02140   0.03581
1993   37   0.02478   0.02336   0.01514   0.02130   0.02712
1993   38   0.01664   0.01889   0.01164   0.01697   0.02704
1993   39   0.01185   0.01229   0.00952   0.01248   0.01944
1993   40   0.00976   0.00903   0.00642   0.00813   0.01597
1993   41   0.00542   0.00467   0.00379   0.00585   0.01082
1993   42   0.00389   0.00264   0.00184   0.00317   0.00870
1993   43   0.00199   0.00195   0.00096   0.00206   0.00575
1993   44   0.00088   0.00056   0.00051   0.00151   0.00238
1993   45   0.00073   0.00016   0.00021   0.00096   0.00175
1993   46   0.00000   0.00000   0.00032   0.00000   0.00050
1993   47   0.00041   0.00000   0.00007   0.00015   0.00021
1993   48   0.00000   0.00009   0.00000   0.00000   0.00000
1993   49   0.00000   0.00000   0.00000   0.00000   0.00032
1993   50   0.00000   0.00000   0.00000   0.00000   0.00000
1993   51   0.00015   0.00000   0.00000   0.00000   0.00000
1993   52   0.00000   0.00000   0.00000   0.00000   0.00011
1993   53   0.00000   0.00000   0.00000   0.00000   0.00000
1993   54   0.00000   0.00000   0.00000   0.00000   0.00000
1993   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1994   12-  0.00002         .         .         .         .
1994   13   0.00008         .         .         .         .
1994   14   0.00036   0.00000         .         .         .
1994   15   0.00138   0.00000         .         .         .
1994   16   0.00559   0.04073   0.12508         .         .
1994   17   0.01322   0.05608   0.02632         .         .
1994   18   0.02478   0.08926   0.14175   0.07672         .
1994   19   0.03900   0.09185   0.06148   0.03019         .
1994   20   0.05423   0.11366   0.09219   0.05262         .
1994   21   0.06165   0.13721   0.07065   0.09530   0.00000
1994   22   0.06705   0.14558   0.07890   0.09554   0.16142
1994   23   0.07729   0.16027   0.07111   0.08545   0.10809
1994   24   0.08496   0.16376   0.06943   0.07035   0.11677
1994   25   0.09276   0.16271   0.06449   0.07069   0.12655
1994   26   0.10140   0.16301   0.06208   0.06970   0.06573
1994   27   0.10199   0.16645   0.06114   0.05782   0.08342
1994   28   0.10020   0.15811   0.05758   0.05629   0.08839
1994   29   0.09436   0.13873   0.05572   0.05509   0.07614
1994   30   0.08777   0.12644   0.05041   0.05497   0.06607
1994   31   0.07670   0.10787   0.04326   0.04354   0.06179
1994   32   0.06381   0.09076   0.04045   0.04257   0.06080
1994   33   0.05841   0.07660   0.03434   0.03546   0.04661
1994   34   0.04681   0.06176   0.03053   0.03366   0.04273
1994   35   0.04036   0.04859   0.02491   0.02678   0.04189
1994   36   0.03263   0.03599   0.02214   0.02556   0.03735
1994   37   0.02305   0.02727   0.01576   0.02113   0.02614
1994   38   0.01807   0.01945   0.01220   0.01504   0.02597
1994   39   0.01125   0.01199   0.00772   0.01092   0.01937
1994   40   0.00891   0.00822   0.00530   0.00660   0.01441
1994   41   0.00633   0.00600   0.00381   0.00564   0.01321
1994   42   0.00374   0.00264   0.00321   0.00298   0.00731
1994   43   0.00225   0.00137   0.00141   0.00247   0.00508
1994   44   0.00123   0.00076   0.00059   0.00080   0.00356
1994   45   0.00000   0.00032   0.00026   0.00075   0.00274
1994   46   0.00015   0.00008   0.00015   0.00021   0.00070
1994   47   0.00000   0.00000   0.00000   0.00011   0.00000
1994   48   0.00000   0.00000   0.00007   0.00015   0.00022
1994   49   0.00000   0.00009   0.00000   0.00000   0.00000
1994   50   0.00000   0.00000   0.00000   0.00011   0.00000
1994   51   0.00000   0.00000   0.00000   0.00000   0.00000
1994   52   0.00000   0.00000   0.00000   0.00010   0.00000
1994   53   0.00000   0.00000   0.00000   0.00000   0.00000
1994   54   0.00000   0.00000   0.00000   0.00000   0.00000
1994   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1995   12-  0.00002         .         .         .         .
1995   13   0.00006         .         .         .         .
1995   14   0.00025   0.19651         .         .         .
1995   15   0.00160   0.06249         .         .         .
1995   16   0.00487   0.03014         .         .         .
1995   17   0.01310   0.06164   0.10923         .         .
1995   18   0.02158   0.08411   0.05475   0.00000         .
1995   19   0.03827   0.09396   0.09081   0.06564         .
1995   20   0.04694   0.11237   0.06355   0.06627   0.19810
1995   21   0.05614   0.12647   0.08315   0.10420   0.07692
1995   22   0.06124   0.14833   0.07397   0.09099   0.10548
1995   23   0.07127   0.15363   0.06696   0.07158   0.10033
1995   24   0.07805   0.15993   0.06445   0.07943   0.10549
1995   25   0.09270   0.15967   0.06372   0.06709   0.08807
1995   26   0.09697   0.16276   0.06186   0.07244   0.09216
1995   27   0.09863   0.15882   0.06085   0.05236   0.08803
1995   28   0.09837   0.15269   0.05421   0.05662   0.07058
1995   29   0.09647   0.14607   0.05292   0.05246   0.06674
1995   30   0.08967   0.12682   0.05246   0.04997   0.06969
1995   31   0.08158   0.10928   0.04560   0.04303   0.04646
1995   32   0.06480   0.09215   0.03854   0.03953   0.04866
1995   33   0.06151   0.07777   0.03486   0.03688   0.05484
1995   34   0.04585   0.05956   0.03060   0.03206   0.04412
1995   35   0.04200   0.04733   0.02339   0.02958   0.04519
1995   36   0.03155   0.03814   0.01952   0.02372   0.03007
1995   37   0.02350   0.02630   0.01519   0.01944   0.03560
1995   38   0.02142   0.02091   0.01136   0.01441   0.02272
1995   39   0.01390   0.01405   0.00756   0.01190   0.02224
1995   40   0.00938   0.00837   0.00560   0.00813   0.01574
1995   41   0.00488   0.00412   0.00402   0.00508   0.01158
1995   42   0.00433   0.00256   0.00215   0.00387   0.00990
1995   43   0.00231   0.00196   0.00145   0.00334   0.00319
1995   44   0.00060   0.00069   0.00103   0.00106   0.00296
1995   45   0.00046   0.00034   0.00038   0.00103   0.00178
1995   46   0.00015   0.00000   0.00005   0.00065   0.00055
1995   47   0.00000   0.00008   0.00010   0.00043   0.00035
1995   48   0.00000   0.00008   0.00000   0.00000   0.00034
1995   49   0.00000   0.00000   0.00000   0.00000   0.00000
1995   50   0.00000   0.00000   0.00000   0.00013   0.00000
1995   51   0.00000   0.00000   0.00000   0.00000   0.00000
1995   52   0.00000   0.00000   0.00000   0.00000   0.00000
1995   53   0.00000   0.00000   0.00000   0.00000   0.00000
1995   54   0.00000   0.00000   0.00000   0.00000   0.00000
1995   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1996   12-  0.00000         .         .         .         .
1996   13   0.00004         .         .         .         .
1996   14   0.00019   0.00000         .         .         .
1996   15   0.00095   0.02487         .         .         .
1996   16   0.00459   0.05267   0.16672         .         .
1996   17   0.01110   0.07785   0.04415         .         .
1996   18   0.02043   0.08317   0.10540   0.33407         .
1996   19   0.03510   0.09865   0.09830   0.00000         .
1996   20   0.04575   0.12070   0.04859   0.04760         .
1996   21   0.05365   0.12983   0.07564   0.09401   0.06651
1996   22   0.06129   0.15595   0.07605   0.11289   0.18171
1996   23   0.06895   0.16233   0.06562   0.07571   0.12809
1996   24   0.08014   0.17137   0.07104   0.08000   0.11172
1996   25   0.08871   0.17107   0.06073   0.06454   0.10864
1996   26   0.09794   0.16059   0.06326   0.07205   0.09516
1996   27   0.10179   0.16156   0.06107   0.06399   0.10954
1996   28   0.09807   0.15760   0.05537   0.05610   0.06994
1996   29   0.10108   0.14938   0.04996   0.04537   0.05902
1996   30   0.09620   0.13326   0.05192   0.04842   0.05474
1996   31   0.08597   0.11734   0.04817   0.04307   0.05731
1996   32   0.07423   0.09738   0.04129   0.04068   0.05611
1996   33   0.06074   0.08232   0.03452   0.04012   0.04826
1996   34   0.05268   0.06501   0.03145   0.03402   0.03845
1996   35   0.04461   0.05155   0.02461   0.02951   0.03941
1996   36   0.03434   0.03946   0.02046   0.02499   0.04137
1996   37   0.02509   0.03083   0.01542   0.01797   0.03156
1996   38   0.01916   0.01893   0.01210   0.01534   0.02449
1996   39   0.01505   0.01493   0.00843   0.01189   0.02132
1996   40   0.01104   0.00844   0.00574   0.01016   0.01542
1996   41   0.00754   0.00729   0.00362   0.00627   0.01108
1996   42   0.00361   0.00324   0.00289   0.00380   0.00621
1996   43   0.00177   0.00231   0.00094   0.00258   0.00435
1996   44   0.00101   0.00077   0.00038   0.00119   0.00182
1996   45   0.00060   0.00034   0.00044   0.00059   0.00148
1996   46   0.00000   0.00017   0.00011   0.00034   0.00079
1996   47   0.00000   0.00000   0.00000   0.00011   0.00018
1996   48   0.00000   0.00000   0.00000   0.00000   0.00035
1996   49   0.00000   0.00000   0.00000   0.00000   0.00000
1996   50   0.00000   0.00011   0.00000   0.00000   0.00000
1996   51   0.00000   0.00000   0.00000   0.00000   0.00000
1996   52   0.00000   0.00000   0.00000   0.00000   0.00000
1996   53   0.00000   0.00000   0.00000   0.00000   0.00000
1996   54   0.00000   0.00000   0.00000   0.00000   0.00000
1996   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1997   12-  0.00000         .         .         .         .
1997   13   0.00004         .         .         .         .
1997   14   0.00025   0.00000         .         .         .
1997   15   0.00095   0.05608         .         .         .
1997   16   0.00394   0.05814   0.13030         .         .
1997   17   0.01037   0.06445   0.06121         .         .
1997   18   0.02068   0.06297   0.07402         .         .
1997   19   0.03446   0.09138   0.05745   0.00000         .
1997   20   0.04360   0.11262   0.07350   0.14722         .
1997   21   0.05029   0.13267   0.07198   0.05177   0.00000
1997   22   0.05896   0.14410   0.06631   0.05814   0.06216
1997   23   0.06659   0.15102   0.06726   0.06465   0.15453
1997   24   0.07502   0.14919   0.06946   0.06845   0.04021
1997   25   0.08786   0.16136   0.06209   0.06356   0.13926
1997   26   0.09231   0.15869   0.06062   0.05997   0.07575
1997   27   0.09951   0.15239   0.05579   0.05445   0.07022
1997   28   0.09416   0.15003   0.05179   0.05491   0.06481
1997   29   0.09501   0.14065   0.05052   0.04417   0.05007
1997   30   0.09283   0.12582   0.04963   0.04519   0.06161
1997   31   0.08692   0.11698   0.04449   0.03889   0.04591
1997   32   0.07254   0.09920   0.04118   0.04075   0.05033
1997   33   0.06347   0.08329   0.03530   0.03327   0.04610
1997   34   0.05076   0.06124   0.02828   0.03216   0.04068
1997   35   0.04449   0.05186   0.02665   0.03049   0.03948
1997   36   0.03402   0.04256   0.02145   0.02386   0.03329
1997   37   0.02863   0.03007   0.01644   0.02132   0.02903
1997   38   0.02061   0.02250   0.01149   0.01456   0.02618
1997   39   0.01579   0.01312   0.00919   0.01090   0.01809
1997   40   0.01045   0.01054   0.00672   0.00946   0.01572
1997   41   0.00667   0.00625   0.00401   0.00484   0.01227
1997   42   0.00301   0.00401   0.00244   0.00364   0.00878
1997   43   0.00104   0.00203   0.00145   0.00196   0.00499
1997   44   0.00109   0.00091   0.00058   0.00117   0.00297
1997   45   0.00000   0.00043   0.00048   0.00108   0.00159
1997   46   0.00030   0.00017   0.00016   0.00035   0.00042
1997   47   0.00000   0.00000   0.00005   0.00046   0.00000
1997   48   0.00000   0.00000   0.00005   0.00000   0.00018
1997   49   0.00000   0.00000   0.00000   0.00000   0.00000
1997   50   0.00000   0.00000   0.00000   0.00000   0.00000
1997   51   0.00000   0.00011   0.00000   0.00000   0.00000
1997   52   0.00000   0.00000   0.00000   0.00000   0.00000
1997   53   0.00000   0.00000   0.00000   0.00000   0.00000
1997   54   0.00000   0.00000   0.00000   0.00000   0.00000
1997   55+  0.00000   0.00000   0.00000   0.00000   0.00013
1998   12-  0.00000         .         .         .         .
1998   13   0.00000         .         .         .         .
1998   14   0.00030   0.00000         .         .         .
1998   15   0.00103   0.02596         .         .         .
1998   16   0.00365   0.04771   0.00000         .         .
1998   17   0.00995   0.06016   0.04002         .         .
1998   18   0.01993   0.07365   0.08332         .         .
1998   19   0.03231   0.09522   0.06312   0.00000         .
1998   20   0.04057   0.11656   0.06727   0.07870   0.00000
1998   21   0.04861   0.13514   0.07996   0.11024   0.09979
1998   22   0.05467   0.14287   0.07495   0.09024   0.04054
1998   23   0.06396   0.14979   0.07431   0.07149   0.04918
1998   24   0.06889   0.16055   0.06542   0.07620   0.15036
1998   25   0.08063   0.15853   0.06460   0.07244   0.09640
1998   26   0.08686   0.16608   0.06278   0.06765   0.08083
1998   27   0.09369   0.16086   0.05490   0.06022   0.08330
1998   28   0.09267   0.15328   0.05489   0.04832   0.06352
1998   29   0.09707   0.13591   0.04856   0.05715   0.07160
1998   30   0.09329   0.13455   0.04435   0.04901   0.06329
1998   31   0.08244   0.11605   0.04450   0.03723   0.04152
1998   32   0.07539   0.10135   0.04145   0.03921   0.05096
1998   33   0.06301   0.08329   0.03419   0.03345   0.04864
1998   34   0.05119   0.06485   0.02768   0.03068   0.04352
1998   35   0.04189   0.05344   0.02456   0.02571   0.03761
1998   36   0.03529   0.04092   0.01979   0.02211   0.03475
1998   37   0.03053   0.02994   0.01397   0.01667   0.03093
1998   38   0.02258   0.02223   0.01197   0.01583   0.02655
1998   39   0.01672   0.01598   0.00862   0.01228   0.02235
1998   40   0.01035   0.01093   0.00580   0.00825   0.01539
1998   41   0.00610   0.00677   0.00383   0.00493   0.01181
1998   42   0.00352   0.00413   0.00238   0.00373   0.00954
1998   43   0.00157   0.00165   0.00154   0.00261   0.00461
1998   44   0.00104   0.00138   0.00057   0.00196   0.00308
1998   45   0.00068   0.00017   0.00032   0.00059   0.00114
1998   46   0.00015   0.00026   0.00000   0.00000   0.00113
1998   47   0.00000   0.00009   0.00000   0.00012   0.00042
1998   48   0.00000   0.00000   0.00000   0.00000   0.00020
1998   49   0.00000   0.00008   0.00000   0.00000   0.00000
1998   50   0.00000   0.00000   0.00000   0.00011   0.00000
1998   51   0.00000   0.00000   0.00000   0.00000   0.00000
1998   52   0.00000   0.00000   0.00000   0.00000   0.00000
1998   53   0.00000   0.00000   0.00000   0.00000   0.00000
1998   54   0.00000   0.00000   0.00000   0.00000   0.00000
1998   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1999   12-  0.00002         .         .         .         .
1999   13   0.00002         .         .         .         .
1999   14   0.00017         .         .         .         .
1999   15   0.00110   0.02854         .         .         .
1999   16   0.00341   0.04325         .         .         .
1999   17   0.01008   0.05533   0.00000         .         .
1999   18   0.01765   0.06704   0.05333         .         .
1999   19   0.02966   0.09030   0.03208   0.08304         .
1999   20   0.04016   0.12458   0.06630   0.02947         .
1999   21   0.04669   0.12855   0.08813   0.05236   0.00000
1999   22   0.05255   0.14430   0.08641   0.06068   0.14921
1999   23   0.05860   0.15050   0.06910   0.08551   0.13267
1999   24   0.07016   0.15928   0.07564   0.08688   0.06439
1999   25   0.07641   0.14907   0.06989   0.06879   0.12010
1999   26   0.08353   0.15195   0.06617   0.06480   0.05542
1999   27   0.09025   0.14912   0.05724   0.06270   0.06180
1999   28   0.08996   0.14732   0.05352   0.05904   0.07265
1999   29   0.09440   0.13587   0.04966   0.06220   0.06328
1999   30   0.08790   0.12763   0.04460   0.04753   0.04881
1999   31   0.08433   0.11144   0.03906   0.04159   0.05797
1999   32   0.07202   0.10275   0.03560   0.03683   0.05278
1999   33   0.06444   0.08550   0.03275   0.03400   0.04695
1999   34   0.05498   0.07122   0.02891   0.02873   0.05184
1999   35   0.04621   0.05617   0.02427   0.02720   0.04195
1999   36   0.03645   0.04337   0.01968   0.02133   0.03596
1999   37   0.03053   0.03197   0.01500   0.01671   0.02956
1999   38   0.02223   0.02441   0.01084   0.01587   0.02190
1999   39   0.01548   0.01773   0.00886   0.01115   0.02214
1999   40   0.01269   0.01340   0.00679   0.00878   0.01480
1999   41   0.00854   0.00654   0.00415   0.00704   0.01312
1999   42   0.00395   0.00346   0.00180   0.00460   0.00851
1999   43   0.00287   0.00236   0.00135   0.00176   0.00497
1999   44   0.00097   0.00110   0.00080   0.00227   0.00266
1999   45   0.00000   0.00033   0.00041   0.00058   0.00213
1999   46   0.00027   0.00025   0.00000   0.00047   0.00068
1999   47   0.00015   0.00000   0.00005   0.00012   0.00000
1999   48   0.00000   0.00000   0.00011   0.00000   0.00021
1999   49   0.00000   0.00000   0.00000   0.00012   0.00000
1999   50   0.00000   0.00000   0.00000   0.00000   0.00000
1999   51   0.00000   0.00000   0.00000   0.00000   0.00000
1999   52   0.00000   0.00000   0.00000   0.00000   0.00000
1999   53   0.00000   0.00000   0.00000   0.00000   0.00000
1999   54   0.00000   0.00000   0.00000   0.00000   0.00000
1999   55+  0.00000   0.00000   0.00000   0.00000   0.00000
2000   12-  0.00000         .         .         .         .
2000   13   0.00002         .         .         .         .
2000   14   0.00011   0.00000         .         .         .
2000   15   0.00132   0.05508         .         .         .
2000   16   0.00383   0.06053         .         .         .
2000   17   0.01012   0.04160   0.00000         .         .
2000   18   0.01754   0.07952   0.02858         .         .
2000   19   0.03026   0.08860   0.05452   0.24409         .
2000   20   0.04003   0.10502   0.05793   0.10972         .
2000   21   0.04662   0.13222   0.09325   0.10136   0.00000
2000   22   0.05221   0.15440   0.06948   0.05946   0.00000
2000   23   0.05689   0.16109   0.07026   0.08516   0.13727
2000   24   0.06612   0.16411   0.07936   0.08198   0.12928
2000   25   0.07512   0.15766   0.07677   0.08022   0.05862
2000   26   0.08218   0.16082   0.06151   0.07920   0.06512
2000   27   0.09142   0.16071   0.05774   0.06379   0.07680
2000   28   0.09046   0.15323   0.05209   0.06005   0.09835
2000   29   0.09556   0.14508   0.05300   0.05071   0.06065
2000   30   0.09039   0.13580   0.04572   0.04830   0.05993
2000   31   0.08358   0.12130   0.04136   0.04656   0.05879
2000   32   0.07576   0.10502   0.03651   0.03954   0.05226
2000   33   0.06604   0.09160   0.03298   0.03145   0.04398
2000   34   0.05729   0.07509   0.03155   0.02757   0.04693
2000   35   0.04686   0.05689   0.02351   0.02758   0.03588
2000   36   0.03861   0.04302   0.01985   0.02057   0.02987
2000   37   0.03190   0.03457   0.01625   0.01936   0.03083
2000   38   0.02309   0.02615   0.01130   0.01702   0.02496
2000   39   0.01623   0.01733   0.00945   0.01169   0.02114
2000   40   0.01154   0.01278   0.00699   0.01136   0.01446
2000   41   0.00641   0.00710   0.00428   0.00548   0.01352
2000   42   0.00455   0.00366   0.00178   0.00447   0.00698
2000   43   0.00188   0.00177   0.00144   0.00171   0.00411
2000   44   0.00133   0.00163   0.00056   0.00176   0.00402
2000   45   0.00024   0.00055   0.00015   0.00023   0.00193
2000   46   0.00052   0.00008   0.00005   0.00058   0.00047
2000   47   0.00000   0.00000   0.00005   0.00000   0.00023
2000   48   0.00000   0.00000   0.00000   0.00000   0.00000
2000   49   0.00000   0.00000   0.00000   0.00000   0.00000
2000   50   0.00000   0.00000   0.00000   0.00000   0.00020
2000   51   0.00000   0.00000   0.00000   0.00000   0.00000
2000   52   0.00000   0.00000   0.00000   0.00000   0.00000
2000   53   0.00000   0.00000   0.00000   0.00000   0.00000
2000   54   0.00000   0.00000   0.00000   0.00000   0.00000
2000   55+  0.00000   0.00000   0.00007   0.00000   0.00000
2001   12-  0.00000         .         .         .         .
2001   13   0.00002         .         .         .         .
2001   14   0.00018         .         .         .         .
2001   15   0.00178   0.02523         .         .         .
2001   16   0.00484   0.01842         .         .         .
2001   17   0.01065   0.05864   0.00000         .         .
2001   18   0.01871   0.06684   0.04407         .         .
2001   19   0.02755   0.07168   0.07568   0.08618         .
2001   20   0.03731   0.11004   0.08959   0.17530         .
2001   21   0.04311   0.12652   0.07193   0.10481   0.11665
2001   22   0.04936   0.13830   0.08207   0.09415   0.04912
2001   23   0.05533   0.14514   0.06092   0.05799   0.17032
2001   24   0.06239   0.14450   0.06915   0.09434   0.10222
2001   25   0.06855   0.15269   0.06987   0.06503   0.08304
2001   26   0.08085   0.15377   0.06250   0.07394   0.08350
2001   27   0.08372   0.15459   0.05854   0.06477   0.11399
2001   28   0.08542   0.15147   0.05793   0.05275   0.07396
2001   29   0.08876   0.14424   0.05065   0.05208   0.07824
2001   30   0.09098   0.13362   0.04590   0.04997   0.06988
2001   31   0.08482   0.12458   0.04116   0.04474   0.05058
2001   32   0.07454   0.10853   0.03740   0.03418   0.05372
2001   33   0.06742   0.09422   0.03348   0.03910   0.05006
2001   34   0.06076   0.07674   0.02723   0.03117   0.03865
2001   35   0.04895   0.06126   0.02598   0.02591   0.03895
2001   36   0.04200   0.04579   0.01895   0.02244   0.03480
2001   37   0.03142   0.03363   0.01610   0.01711   0.02928
2001   38   0.02361   0.02723   0.01260   0.01447   0.02571
2001   39   0.01798   0.01930   0.00894   0.00994   0.02112
2001   40   0.01311   0.01184   0.00715   0.01015   0.01700
2001   41   0.00919   0.00803   0.00433   0.00718   0.01032
2001   42   0.00539   0.00403   0.00246   0.00336   0.00851
2001   43   0.00264   0.00261   0.00169   0.00266   0.00594
2001   44   0.00157   0.00134   0.00090   0.00128   0.00409
2001   45   0.00066   0.00022   0.00056   0.00055   0.00306
2001   46   0.00012   0.00024   0.00030   0.00045   0.00121
2001   47   0.00026   0.00016   0.00010   0.00000   0.00047
2001   48   0.00000   0.00000   0.00000   0.00000   0.00000
2001   49   0.00000   0.00000   0.00000   0.00000   0.00023
2001   50   0.00015   0.00009   0.00000   0.00000   0.00000
2001   51   0.00000   0.00000   0.00000   0.00000   0.00040
2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
2001   54   0.00000   0.00000   0.00000   0.00000   0.00000
2001   55+  0.00022   0.00000   0.00000   0.00000   0.00000
2002   12-  0.00000         .         .         .         .
2002   13   0.00002         .         .         .         .
2002   14   0.00024   0.00000         .         .         .
2002   15   0.00164   0.02067         .         .         .
2002   16   0.00540   0.02607         .         .         .
